50000,50000,3,16,32.00,4,0,0,17,18446744073709551615,18,256,0.01,1000000000.00,0,0,10,1000,0,0,,8000000,15,0,4,4,16,1024,      32.00
model defined,6145,50000,56144,0.0079,32724,0,0,0,100.00,0,0.00,0,0.00,0,0,0,36,9,32724,4139134.83,1024,56145,27103,688,0,0,608,144,128,56,80,264,144,184,0.0008,0.0000,0.0000,0.0000,0.0140,0.0001,0.0000,0.0014,0.0009,0.0000,0.0031,0.0000,0.0000,0.0211,
50000,50000,3,16,1024.00,4,0,0,17,18446744073709551615,18,256,0.01,1000000000.00,0,0,10,1000,0,0,,8000000,15,0,4,4,16,1024,    1024.00
model defined,6145,50000,56144,0.2781,1049668,0,0,0,100.00,0,0.00,0,0.00,0,0,0,1032,258,1049668,3774304.32,1024,56145,27103,688,0,0,608,144,128,56,80,264,144,184,0.0272,0.0000,0.0000,0.0000,0.5103,0.0035,0.0000,0.0531,0.0310,0.0000,0.0956,0.0000,0.0000,0.7417,
50000,50000,3,16,16384.00,4,0,0,17,18446744073709551615,18,256,0.01,1000000000.00,0,0,10,1000,0,0,,8000000,15,0,4,4,16,1024,   16384.00
model defined,6145,50000,56144,4.2139,16785240,0,0,0,100.00,0,0.00,0,0.00,0,0,0,16400,4100,16785240,3983344.47,1024,56145,27103,688,0,0,608,144,128,56,80,264,144,184,0.4063,0.0000,0.0000,0.0000,7.8935,0.0476,0.0000,0.5691,0.4967,0.0000,1.4283,0.0000,0.0000,11.2376,
50000,50000,3,16,16384.00,4,0,0,17,18446744073709551615,18,256,0.01,1000000000.00,0,0,10,1000,0,0,,8000000,15,0,4,4,16,1024,   16384.00
model defined,6145,50000,56144,4.2194,16785240,0,0,0,100.00,0,0.00,0,0.00,0,0,0,16400,4100,16785240,3978131.37,1024,56145,27103,688,0,0,608,144,128,56,80,264,144,184,0.4078,0.0000,0.0000,0.0000,7.9682,0.0508,0.0000,0.7555,0.5018,0.0000,1.4439,0.0000,0.0000,11.2523,
50000,50000,3,16,32.00,4,0,0,17,18446744073709551615,18,256,0.01,1000000000.00,0,0,10,1000,0,0,,8000000,15,0,4,4,16,1024,      32.00
model defined,6145,50000,56144,0.0080,32724,0,0,0,100.00,0,0.00,0,0.00,0,0,0,36,9,32724,4099724.38,1024,56145,27982,686,0,0,608,144,128,64,80,272,144,200,0.0009,0.0000,0.0000,0.0000,0.0144,0.0001,0.0000,0.0014,0.0010,0.0000,0.0030,0.0000,0.0000,0.0213,
50000,50000,3,16,32.00,4,0,0,17,18446744073709551615,18,256,0.01,1000000000.00,0,0,10,1000,0,0,,8000000,15,0,4,4,16,1024,      32.00
model defined,6145,50000,56144,0.0080,32724,0,0,0,100.00,0,0.00,0,0.00,0,0,0,36,9,32724,4086413.59,1024,56145,27982,686,0,0,608,144,128,64,80,272,144,200,0.0009,0.0000,0.0000,0.0000,0.0143,0.0001,0.0000,0.0013,0.0010,0.0000,0.0034,0.0000,0.0000,0.0214,
50000,50000,3,16,32.00,4,0,0,17,18446744073709551615,18,256,0.01,1000000000.00,0,0,10,1000,0,0,,8000000,15,0,4,4,16,1024,      32.00
model defined,6145,50000,56144,0.0084,32724,0,0,0,100.00,0,0.00,0,0.00,0,0,0,36,9,32724,3914822.35,1024,56145,27982,686,0,0,608,144,128,64,80,272,144,200,0.0009,0.0000,0.0000,0.0000,0.0145,0.0001,0.0000,0.0015,0.0010,0.0000,0.0036,0.0000,0.0000,0.0223,
50000,50000,3,16,32.00,4,0,0,17,18446744073709551615,18,256,0.01,1000000000.00,0,0,10,1000,0,0,,8000000,15,0,4,4,16,1024,      32.00
model defined,6145,50000,56144,0.0082,32724,0,0,0,100.00,0,0.00,0,0.00,0,0,0,36,9,32724,4002446.18,1024,56145,27982,686,0,0,608,144,128,64,80,272,144,200,0.0009,0.0000,0.0000,0.0000,0.0143,0.0001,0.0000,0.0013,0.0011,0.0000,0.0035,0.0000,0.0000,0.0218,
