50000,50000,3,16,128.00,4,0,0,17,0.01,18446744073709551615,18,256,0.01,1000000000.00,0,0,10,1000,0,0,,8000000,15,0,1024,1024,65536,1048576,     128.00
model defined,18433,50000,68432,4.7573,268915754,0,1528601,0,99.43,0,0.00,16910787,6.32,522192,510432,11760,268288,262,267387153,56205912.92,2113779,68433,57958,1156,17284009,17284009,608,144,128,36,80,244,152,156,0.1318,0.1302,0.0000,0.0000,3.9479,0.0084,0.0000,1.0105,0.7984,0.0538,1.6535,0.0000,0.0000,7.6116,
50000,50000,3,16,128.00,4,0,0,17,0.01,18446744073709551615,18,256,0.01,1000000000.00,0,0,10,1000,0,0,,8000000,15,0,1024,1024,65536,1048576,     128.00
model defined,18433,50000,68432,4.7568,268889698,0,1513246,0,99.43,0,0.00,16909179,6.32,518865,507445,11420,267264,261,267376452,56209866.69,2113632,68433,57958,1156,17278557,17278557,608,144,128,36,80,244,152,156,0.1316,0.1299,0.0000,0.0000,3.9443,0.0078,0.0000,1.0235,0.7963,0.0570,1.6525,0.0000,0.0000,7.6108,
50000,50000,3,16,128.00,4,0,0,17,0.01,18446744073709551615,18,256,0.01,1000000000.00,0,0,10,1000,0,0,,8000000,15,0,256,256,65536,1048576,     128.00
model defined,67585,50000,117584,22.7453,267958991,0,575982,0,99.78,0,0.00,16644283,6.22,266514,263885,2629,262912,1027,267383009,11755545.48,2104325,117585,162650,2957,16786969,16786969,608,144,128,36,80,244,152,156,0.6905,0.6612,0.0000,0.0000,20.2916,0.0302,0.0000,3.5213,4.0558,0.1148,6.8216,0.0000,0.0000,36.3924,
50000,50000,3,16,32.00,4,0,0,17,0.01,18446744073709551615,18,256,0.01,1000000000.00,0,0,10,1000,0,0,,8000000,15,0,64,64,65536,1048576,      32.00
model defined,264193,50000,314192,50000,50000,3,16,32.00,4,0,0,17,0.01,18446744073709551615,18,256,0.01,1000000000.00,0,0,10,1000,0,0,,8000000,15,0,128,128,65536,1048576,      32.00
model defined,133121,50000,183120,50000,50000,3,16,32.00,4,0,0,17,0.01,18446744073709551615,18,256,0.01,1000000000.00,0,0,10,1000,0,0,,8000000,15,0,256,256,65536,1048576,      32.00
model defined,67585,50000,117584,5.4435,66144476,0,104484,0,99.84,0,0.00,4060917,6.15,51064,50656,408,65536,256,66039992,12131894.50,2103271,117585,162650,2957,4085965,4085965,608,144,128,36,80,244,152,156,0.1673,0.1503,0.0000,0.0000,4.8024,0.0074,0.0000,0.9118,0.9873,0.0305,1.6735,0.0000,0.0000,8.7096,
